x,y,time,keys,pressed,sofar
310,287,52748,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52848,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52864,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52881,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52898,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52914,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52931,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52948,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52964,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52981,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,52998,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53014,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53031,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53048,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53064,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53098,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53131,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53148,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53164,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53198,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53231,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53248,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53264,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53298,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53314,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53331,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,53348,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
