x,y,time,keys,pressed,sofar
310,287,13917,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14029,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14078,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14094,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14111,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14125,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14141,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14171,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14183,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14201,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14212,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14229,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14245,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14262,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14279,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14295,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14312,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14329,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14345,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14362,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14378,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14395,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14412,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14429,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14445,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14462,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14478,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14495,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14512,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14528,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14545,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14562,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14578,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14595,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14612,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14629,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14645,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14662,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14679,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14695,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14712,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14729,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14745,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14762,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14778,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14795,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14812,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14829,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14850,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14862,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14879,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14895,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14912,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14929,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
