x,y,time,keys,pressed,sofar
310,287,3793,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3859,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3876,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3893,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3909,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3926,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3942,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3960,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4009,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4027,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4042,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4060,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4093,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4110,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4127,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4143,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4160,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4176,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4193,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4209,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4227,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4243,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4260,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4276,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4294,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4310,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4327,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4343,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4360,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4376,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4410,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4427,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4460,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4477,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4511,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4527,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4561,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4577,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4594,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4610,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4627,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4644,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4661,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4677,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4694,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4711,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4728,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4744,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4761,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4777,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4794,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4810,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4828,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4845,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4861,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4877,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4895,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4911,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4928,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4944,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4961,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4978,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,4994,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5012,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5028,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5045,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5061,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5078,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5095,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5112,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5128,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5144,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5161,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5178,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5195,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5211,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5228,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5245,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5262,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5278,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5295,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5312,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5328,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5346,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5362,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5378,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5395,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5412,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5429,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5445,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5462,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5479,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5495,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5512,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5528,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5578,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5595,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5629,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5645,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5662,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5679,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5712,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5729,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5746,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5762,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5779,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5812,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
