x,y,time,keys,pressed,sofar
310,287,30861,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31028,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31044,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31061,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31078,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31094,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31111,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31128,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31144,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31161,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31177,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31194,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31211,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31227,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31244,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31261,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31277,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31294,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31311,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31327,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31344,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31361,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31377,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31411,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31427,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31444,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31461,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31477,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31511,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
