x,y,time,keys,pressed,sofar
310,287,2267,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2367,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2384,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2401,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2418,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2434,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2468,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2484,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2518,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2535,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2551,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2568,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2585,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2601,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2618,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2635,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2652,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2685,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2702,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2719,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2735,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2752,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2785,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2802,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2836,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2852,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2903,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2936,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2953,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2986,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3020,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3036,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3053,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3070,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3086,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3103,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3120,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3137,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3153,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3170,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3187,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3204,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3220,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3237,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3254,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3270,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3287,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3304,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3321,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3337,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3354,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3371,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3387,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
