x,y,time,keys,pressed,sofar
310,287,48897,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49014,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49031,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49047,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49064,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49097,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49131,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49164,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49197,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49231,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49247,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49264,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49297,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49314,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49331,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49347,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49364,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49381,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49397,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49414,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49431,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49464,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49481,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49497,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49514,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49531,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49547,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
