x,y,time,keys,pressed,sofar
310,287,95027,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95294,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95311,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95327,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95344,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95360,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95377,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95410,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95427,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95444,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95460,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95510,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95527,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95544,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95560,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95577,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95610,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95627,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95660,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95677,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95693,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95710,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95727,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95743,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95760,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95777,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95793,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95810,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95860,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95877,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95893,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95910,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95926,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95943,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95960,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,95993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96010,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96026,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96043,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96060,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96093,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96110,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96126,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96143,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96160,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96176,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96193,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96210,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96226,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96243,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96259,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96276,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96309,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96326,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96343,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96359,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96376,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96393,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96409,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96459,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96476,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96493,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96509,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96559,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96576,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,96593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
