x,y,time,keys,pressed,sofar
310,287,2132,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2199,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2216,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2233,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2249,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2266,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2283,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2300,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2316,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2333,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2350,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2366,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2383,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2400,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2417,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2433,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2450,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2467,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2483,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2500,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2517,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2534,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2550,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2567,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2584,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2601,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2617,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2634,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2651,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2667,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2684,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2701,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2718,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2734,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2751,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2768,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2784,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2801,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2818,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2851,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2868,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2902,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2918,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2935,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2952,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2968,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,2985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3002,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3035,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3052,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3102,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3119,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3136,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3152,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3169,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3186,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3202,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3236,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3253,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3269,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3286,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3303,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3320,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3336,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3353,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3370,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3386,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3403,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3420,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3437,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3453,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,3470,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,3487,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,3503,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,3520,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,3537,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,3554,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,3570,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,3587,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,3604,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,3621,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,3637,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,3654,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,3671,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,3687,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,3704,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,3721,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,274,3738,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,273,3754,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,272,3771,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,271,3788,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,3804,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,3821,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
