x,y,time,keys,pressed,sofar
310,287,45871,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45938,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45955,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45971,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45988,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46005,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46021,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46038,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46055,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46071,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46088,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46105,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46121,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46138,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46155,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46171,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46188,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46205,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46221,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46238,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46255,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46271,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46288,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46305,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46321,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46338,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46355,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46372,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46388,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46405,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46422,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46438,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46455,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46472,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46488,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46505,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46522,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46538,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46555,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46572,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46588,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46605,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46622,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46638,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46655,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46672,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46688,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46705,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46722,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46738,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46755,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46772,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46788,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46805,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46822,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46838,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46855,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46872,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46888,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46905,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46922,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46938,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46955,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46972,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46988,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47005,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47022,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47038,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47055,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47072,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47089,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47105,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47122,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47139,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47155,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47172,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47189,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47205,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47222,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47239,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47255,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47272,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47289,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47305,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47322,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47339,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47355,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47372,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47389,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47405,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47422,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47439,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47455,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47472,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47489,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47505,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47522,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47539,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47555,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47572,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47589,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47605,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47622,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47639,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47655,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47672,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47689,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47705,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47722,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47739,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
