x,y,time,keys,pressed,sofar
310,287,100620,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100704,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100720,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100737,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100754,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100771,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100804,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100820,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100838,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100854,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100870,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100887,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100905,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100920,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100937,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100954,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100971,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,100987,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101004,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101021,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101038,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101054,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101071,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101087,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101104,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101120,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101138,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101154,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101170,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101187,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101205,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101221,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101238,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101254,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101271,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101288,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101304,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101321,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101337,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101354,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101371,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101388,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,101404,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
