x,y,time,keys,pressed,sofar
310,287,154228,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154311,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154328,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154344,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154361,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154378,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154411,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154428,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154444,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154461,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154478,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154511,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154528,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154544,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154561,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154578,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154594,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154611,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154628,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154644,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154661,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154678,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154694,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154711,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154728,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154744,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154761,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154777,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154794,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154811,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154827,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154844,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154861,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154878,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154894,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154911,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154928,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154944,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154961,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154977,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,154994,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155011,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155027,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155044,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155060,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155077,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155094,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155111,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155127,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155144,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155160,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155177,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155194,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155210,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155227,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155244,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155261,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155277,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155294,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155310,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155327,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155344,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155360,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155377,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155410,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155427,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155460,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155477,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155510,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155527,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155560,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155577,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155610,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155627,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155660,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,155677,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,155694,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,155710,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,155727,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,155743,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,155760,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,155777,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,155793,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,155810,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,155827,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,155843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155860,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155877,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155893,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155910,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155926,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155943,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155960,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,155993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156010,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156026,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156043,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156060,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156093,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156110,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,156126,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,156143,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,156160,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,156176,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,156193,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,274,156210,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,273,156226,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,272,156243,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,271,156260,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,156276,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,156293,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,269,156309,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156326,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156343,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156359,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156376,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156393,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156409,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156459,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156476,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156493,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156509,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156559,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156576,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156592,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156609,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156626,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156642,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156659,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156676,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156693,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156709,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,156726,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,267,156742,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,266,156759,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,156776,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,156792,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,264,156809,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,263,156826,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,262,156842,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,261,156859,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,261,156876,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,261,156892,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,261,156909,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,261,156926,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,261,156942,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,261,156959,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,261,156976,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
303,261,156992,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
303,261,157009,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157026,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157042,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157059,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157075,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157092,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157109,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157125,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157142,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157159,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157175,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157192,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157209,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157225,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157242,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157259,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
302,261,157275,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,261,157292,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
300,261,157309,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
299,261,157325,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
298,261,157342,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
298,261,157359,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
297,261,157375,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
296,261,157392,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
295,261,157408,l,"[1, 0, 0, 0, 0, 0, 0, 0]",1
294,261,157425,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157442,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157459,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157475,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157492,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157508,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157525,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157542,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157559,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157575,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157592,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,261,157609,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
