x,y,time,keys,pressed,sofar
310,287,49290,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49333,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49349,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49366,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49382,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49398,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49416,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49432,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49449,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49465,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49482,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49499,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49516,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49532,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49548,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49565,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49581,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49598,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49616,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49632,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49649,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49665,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49682,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49699,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49716,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49732,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49749,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49766,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49781,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49799,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49816,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49833,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49848,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49865,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49883,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49899,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49915,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49932,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49949,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49966,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49982,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49999,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50016,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50033,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50048,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50065,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50083,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50099,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50115,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50133,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50149,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50166,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50182,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50199,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50216,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50233,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50249,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50266,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50283,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50299,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50315,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50333,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50349,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50366,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50382,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50399,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50416,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50433,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50449,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50466,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50483,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50500,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50516,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50533,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
