x,y,time,keys,pressed,sofar
310,287,31636,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31753,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31803,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31836,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31853,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31903,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31936,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31953,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,31986,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32036,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32053,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32086,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32103,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32119,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32136,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32153,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32169,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32186,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32203,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32236,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32253,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32269,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32286,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32303,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32319,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32336,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32353,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32369,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32386,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32403,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32419,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32436,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32453,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32469,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32486,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32503,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32519,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32553,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32569,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32586,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32603,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32619,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32636,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32653,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32669,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32686,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32703,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32719,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32736,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32753,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32803,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32836,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32853,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32903,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32936,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32953,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32986,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33036,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33053,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33086,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33103,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33118,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,33134,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,33151,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,33168,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,33184,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,33201,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,33218,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,33234,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,33251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33268,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33284,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33301,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33318,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33334,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33351,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33368,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,33384,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,33401,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,33434,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33468,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33484,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33518,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,33534,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,277,33551,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,277,33568,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,277,33584,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,277,33601,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,277,33618,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,277,33634,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,277,33651,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33684,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33701,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33718,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33734,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33751,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33768,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33784,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33801,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33818,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33834,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33851,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33867,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33884,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33901,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33917,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33934,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33951,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33967,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,33984,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,277,34001,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
302,277,34017,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,277,34034,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
300,277,34051,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
299,277,34067,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,277,34084,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,277,34101,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
297,277,34117,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
296,277,34134,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
295,277,34151,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,277,34167,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
293,277,34184,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
293,277,34201,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
292,277,34217,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
291,277,34234,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
290,277,34251,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
289,277,34267,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,277,34284,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,277,34301,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
287,277,34317,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
286,277,34334,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
285,277,34351,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
284,277,34367,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
283,277,34384,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
283,277,34401,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
282,277,34417,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34434,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34467,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34484,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34517,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34534,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34551,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34567,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34584,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34601,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34617,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34634,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34651,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34667,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34684,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34701,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34717,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34734,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34751,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34767,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34784,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34801,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34817,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34834,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34851,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34867,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34884,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34901,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34917,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34934,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34951,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34967,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,34984,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35001,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35017,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35034,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35051,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35067,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35084,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35101,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35134,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35151,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35167,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35184,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35201,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35217,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35234,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35267,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35284,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35301,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35317,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35334,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35351,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35367,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35384,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35401,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35417,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35434,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35467,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35484,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35517,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35534,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35551,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35567,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
281,277,35584,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
282,277,35600,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
283,277,35617,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
283,277,35634,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
284,277,35650,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
285,277,35667,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
286,277,35684,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
287,277,35700,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,277,35717,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,277,35734,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
289,277,35750,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
290,277,35767,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
291,277,35784,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
292,277,35800,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
293,277,35817,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
