x,y,time,keys,pressed,sofar
310,287,101960,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102109,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102126,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102143,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102159,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102176,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102193,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102209,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102226,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102243,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102259,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102276,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102309,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102326,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102343,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102359,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102376,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102393,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102409,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102459,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102476,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102493,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102509,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102559,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102576,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102609,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102626,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102659,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102676,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102693,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102709,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102726,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102743,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102759,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102776,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102793,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102809,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102859,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102876,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102893,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,102909,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
