x,y,time,keys,pressed,sofar
310,287,41631,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41679,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41712,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41729,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41746,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41763,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41779,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41812,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41829,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41845,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41863,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41879,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41896,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41912,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41929,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41946,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41962,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41979,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,41995,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42029,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42046,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42063,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42079,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42095,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42112,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42129,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42146,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42162,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42179,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42195,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42212,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42229,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42246,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42263,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42279,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42296,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42330,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42345,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42362,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42379,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42396,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42429,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42463,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42480,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42495,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42530,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42545,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42562,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42580,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42595,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42612,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42629,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42646,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42663,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42680,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42713,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42730,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42746,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,42762,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,42780,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,42796,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,42812,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,42829,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,42847,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,42863,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,42879,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,42896,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,42912,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,42930,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,42947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,42963,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,42980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,42996,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43012,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43030,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43047,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43063,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43079,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43096,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43113,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,43130,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,278,43146,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,278,43163,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,278,43180,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,278,43197,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,278,43212,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,278,43230,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,278,43247,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,278,43263,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,278,43279,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
302,278,43297,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43329,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43346,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43363,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43380,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43397,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43430,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43463,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43479,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43497,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43529,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43563,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,43579,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,276,43596,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,275,43613,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,273,43630,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,271,43646,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,270,43663,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,268,43680,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43697,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43714,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43729,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43746,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43763,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43780,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43796,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43813,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43830,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43846,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43863,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43880,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43897,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43913,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43930,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43947,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43964,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43980,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,43996,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,44013,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,44030,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,44047,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,44063,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,266,44080,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,265,44096,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,263,44114,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,261,44130,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,260,44147,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,258,44163,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,256,44180,U,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,255,44196,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44213,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44230,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44246,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44263,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44280,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44296,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44314,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44330,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44347,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44364,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44381,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44397,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44413,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44430,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44446,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44463,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
301,253,44481,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
